,JUN,MYC,INS,MAFA,NEUROG3,ARX,NKX2-2,FOXA2,NKX6-1,PAX6,NEUROD1,MAFB,ISL1,GCG,PAX4,PDX1
JUN,0.7638781503916792,,,,,,,,,,,,,,,
MYC,,,,,,,,,,,,,,,,0.05244051375773329
INS,27.916929338998813,29.19026657475582,,19.176872110700423,,,30.630072562082937,,,35.16405271241513,25.141890851920987,36.27764560632892,30.364477174515205,,,38.84800281690311
MAFA,13.647767304911968,,,,,,22.066778896987486,11.09373180338208,14.111630626247885,,15.570560373489856,16.75213299214953,18.641411907549212,,,13.412005189411273
NEUROG3,,,,,,,,,0.42669229331200825,,,,,,,
ARX,,,,,6.075813935816551,,14.990213309313656,9.36389515273168,12.23583842563114,,,,20.135759691354213,,11.18178501997032,16.843742864167414
NKX2-2,,,,,1.0702067072025478,,,0.5088796478527199,,,2.490743337868481,,,,,
FOXA2,,,,,,0.5245271109474268,0.7666144848904859,,,,,,,,,
NKX6-1,,,,,,1.5350633671294112,,,,,,1.5350633671294114,,,,1.135247975393306
PAX6,,,,,,,,,,,1.5162708984264905,,,,,0.2959245743669533
NEUROD1,,,,,2.485258285025817,,7.654664485064747,,2.607534838240335,6.468155577232358,,,,,,2.4186192951181402
MAFB,,,,,,,,,,0.8270301322930481,,,,,,
ISL1,0.5835052338734743,,,,,,,,,,,,,,,
GCG,,,,20.991854125235022,,,,39.490483683529796,36.762314106246045,40.82279602138945,34.26131704840555,31.954557174192054,32.083868459197774,,39.43262777484785,44.9345499646396
PAX4,,,,,0.9478984021025532,0.5797273695514038,,,,,,,,,,
PDX1,,,,12.578108702376177,,23.52662010847343,,24.808114050078352,19.650323892939607,22.22300177914783,16.78415690854021,17.26705586765111,18.11493973842069,,,
