JUN|JUN|0.108818,0.872696
MYC|PDX1|0.467811,0.520252
INS|PDX1,MAFB,PAX6,NKX2-2,ISL1,MYC,JUN,NEUROD1,MAFA|0.001545,0.076700,0.521340,0.504524,0.243975,0.410388,0.468936,0.494715,0.001104,0.003539,0.455212,0.493117,0.247433,0.366892,0.457537,0.467396,0.360379,0.451376,0.516958,0.507539,0.482648,0.496087,0.499999,0.502988,0.045150,0.087098,0.499392,0.500320,0.420142,0.450330,0.497742,0.499113,0.505007,0.502692,0.247815,0.427232,0.466521,0.522949,0.221676,0.605423,0.497370,0.481761,0.500593,0.503453,0.455504,0.476333,0.501197,0.581263,0.504147,0.502266,0.420188,0.378917,0.499922,0.508057,0.372943,0.541370,0.500246,0.499473,0.500279,0.492889,0.498261,0.502249,0.503878,0.528120,0.543847,0.513720,0.574450,0.532322,0.470378,0.495333,0.500105,0.508043,0.501196,0.495481,0.500539,0.500423,0.453589,0.469233,0.484262,0.497507,0.555606,0.610091,0.602014,0.699430,0.740497,0.775514,0.656428,0.770433,0.500306,0.502764,0.500497,0.509853,0.573179,0.639423,0.523442,0.579501,0.518951,0.509852,0.288610,0.432394,0.592693,0.648500,0.274673,0.645169,0.500577,0.500796,0.499198,0.513778,0.632326,0.769464,0.573741,0.695686,0.533533,0.591436,0.458145,0.542218,0.922664,0.959436,0.686067,0.919474,0.500468,0.511713,0.500538,0.544162,0.930478,0.965979,0.772881,0.919746,0.461202,0.497802,0.675458,0.533180,0.467679,0.494724,0.543389,0.516521,0.100801,0.287463,0.500395,0.500393,0.445835,0.466061,0.485664,0.503040,0.579177,0.516627,0.735162,0.570716,0.535747,0.528409,0.748702,0.563067,0.482292,0.496499,0.500467,0.514979,0.497939,0.503666,0.502380,0.519606,0.534204,0.512481,0.494622,0.726387,0.496265,0.607020,0.673318,0.808962,0.500547,0.502430,0.526281,0.614148,0.484888,0.545917,0.614525,0.763099,0.543130,0.513247,0.653756,0.318027,0.538765,0.582728,0.712990,0.760788,0.500442,0.513598,0.507488,0.568874,0.502148,0.527021,0.527526,0.647324,0.840825,0.658455,0.948610,0.863095,0.590117,0.536729,0.790278,0.678697,0.500393,0.500234,0.500478,0.544109,0.483407,0.502249,0.499051,0.527939,0.927058,0.882556,0.987406,0.981397,0.935112,0.950827,0.996445,0.995002,0.503693,0.535168,0.511412,0.715765,0.578875,0.741804,0.541047,0.729987,0.786240,0.627380,0.847149,0.823399,0.685456,0.753748,0.745121,0.838737,0.500336,0.503845,0.514846,0.675350,0.696910,0.827998,0.652538,0.810443,0.903481,0.871388,0.902797,0.733260,0.971542,0.989782,0.946908,0.953984,0.505510,0.619012,0.521125,0.878996,0.931433,0.979205,0.788960,0.976602,0.017554,0.026094,0.061532,0.164535,0.025012,0.072733,0.116662,0.280629,0.006489,0.007313,0.098262,0.285786,0.177016,0.310146,0.277106,0.424698,0.279456,0.357601,0.428488,0.411865,0.438811,0.444582,0.459858,0.454785,0.034441,0.129207,0.485341,0.490905,0.399672,0.434716,0.514299,0.529399,0.041300,0.089287,0.107296,0.106679,0.092994,0.222557,0.144272,0.231763,0.111449,0.245177,0.296546,0.389040,0.299610,0.432918,0.391307,0.584108,0.346880,0.261628,0.226233,0.138800,0.428601,0.408666,0.265577,0.286056,0.478982,0.476204,0.476676,0.461177,0.521111,0.560233,0.509146,0.605128,0.096251,0.261254,0.350291,0.410670,0.168171,0.368720,0.413678,0.447528,0.151266,0.362128,0.397309,0.475911,0.317003,0.442334,0.429649,0.497003,0.473956,0.474907,0.479294,0.474445,0.486269,0.489066,0.494584,0.497582,0.496889,0.500860,0.500118,0.503042,0.516729,0.533362,0.517454,0.547261,0.295897,0.326512,0.149809,0.171450,0.369280,0.400213,0.194760,0.262205,0.369713,0.462237,0.456677,0.470780,0.401077,0.526979,0.491173,0.631856,0.442053,0.414775,0.272959,0.234311,0.452635,0.462345,0.345629,0.375231,0.498026,0.500600,0.485863,0.493643,0.521720,0.583557,0.514373,0.654051,0.197166,0.337028,0.395463,0.417675,0.357556,0.438631,0.454759,0.462206,0.087975,0.243088,0.462335,0.486394,0.380025,0.453843,0.474037,0.505605,0.467956,0.470128,0.476413,0.475959,0.524330,0.558673,0.557172,0.607549,0.455707,0.483232,0.499668,0.509131,0.511288,0.528343,0.514468,0.542742,0.268871,0.251526,0.184793,0.262634,0.421569,0.423343,0.312228,0.841010,0.438245,0.472532,0.479658,0.566576,0.451417,0.576237,0.574436,0.838140,0.440025,0.388667,0.263160,0.249020,0.658233,0.860243,0.490936,0.767637,0.497545,0.510208,0.489365,0.556148,0.518776,0.593770,0.522462,0.842691,0.460383,0.477277,0.477558,0.481733,0.480222,0.488648,0.486196,0.487936,0.482006,0.496791,0.496074,0.499177,0.479741,0.508858,0.502142,0.518969,0.494175,0.498069,0.505222,0.515819,0.541914,0.632902,0.596139,0.698850,0.501878,0.516095,0.503921,0.545730,0.514056,0.545900,0.521485,0.584723,0.443532,0.438173,0.221406,0.362824,0.452469,0.462721,0.335160,0.868832,0.492661,0.499433,0.487327,0.582142,0.498538,0.585102,0.587831,0.864637,0.469260,0.480523,0.358296,0.475566,0.655267,0.916000,0.549299,0.905895,0.501476,0.562492,0.499439,0.745295,0.520432,0.665212,0.568444,0.962586
MAFA|NKX2-2,ISL1,MAFB,NEUROD1,NKX6-1,JUN,PDX1,FOXA2|0.125506,0.138735,0.088200,0.115955,0.128516,0.241318,0.228812,0.301434,0.503306,0.472746,0.127432,0.095862,0.391045,0.202532,0.199169,0.079893,0.431149,0.473612,0.457951,0.434092,0.398973,0.496676,0.494531,0.491877,0.497031,0.495401,0.172426,0.188870,0.439942,0.429426,0.284743,0.220394,0.212530,0.254695,0.194929,0.271834,0.331159,0.478901,0.475751,0.475845,0.420358,0.496563,0.368911,0.322013,0.372712,0.433507,0.407038,0.385441,0.239551,0.577230,0.499641,0.499613,0.325285,0.517202,0.499796,0.499991,0.367656,0.536008,0.477081,0.450772,0.450681,0.525234,0.497676,0.465125,0.344371,0.335073,0.211418,0.202089,0.554211,0.450620,0.482081,0.485091,0.523810,0.499187,0.462619,0.469436,0.571065,0.481180,0.583907,0.478906,0.578254,0.499473,0.499255,0.498781,0.640239,0.484502,0.499994,0.500380,0.543715,0.499833,0.482828,0.487266,0.599644,0.497611,0.548812,0.470537,0.349987,0.493457,0.491556,0.483382,0.551406,0.451610,0.567731,0.506214,0.440591,0.499884,0.511566,0.479830,0.636483,0.494281,0.587198,0.483588,0.362875,0.686872,0.500218,0.500302,0.421011,0.546644,0.579096,0.521585,0.496077,0.611338,0.532167,0.460731,0.523685,0.541640,0.595380,0.465612,0.495333,0.504572,0.486241,0.553197,0.376057,0.631459,0.489183,0.484109,0.507311,0.497503,0.154357,0.247549,0.413997,0.597897,0.175205,0.235996,0.482931,0.263974,0.499328,0.424254,0.552906,0.382253,0.498530,0.270866,0.554364,0.424077,0.363419,0.557976,0.734427,0.728654,0.413101,0.504805,0.319500,0.500020,0.499642,0.536774,0.446198,0.644730,0.499554,0.500182,0.455669,0.500703,0.474149,0.508054,0.625133,0.684034,0.521197,0.480291,0.276731,0.455459,0.499890,0.492983,0.454529,0.604365,0.492825,0.340145,0.742799,0.665509,0.887391,0.590958,0.812369,0.878508,0.945705,0.892645,0.551934,0.500371,0.499972,0.538290,0.663512,0.688202,0.500009,0.503350,0.519167,0.499956,0.492872,0.574012,0.688688,0.727900,0.593598,0.515641,0.616112,0.520736,0.499919,0.651835,0.830383,0.661314,0.499741,0.404374,0.634597,0.697344,0.491319,0.652949,0.825654,0.785723,0.605224,0.541839,0.402623,0.500027,0.500622,0.519098,0.746176,0.770165,0.734062,0.808928,0.534526,0.500197,0.579570,0.532217,0.811050,0.831559,0.765495,0.865326,0.493419,0.847338,0.505809,0.906177,0.727444,0.893750,0.741629,0.913168,0.744797,0.882530,0.933492,0.749751,0.852827,0.949293,0.794546,0.943996
NEUROG3|NKX6-1|0.245865,0.672558
ARX|ISL1,PDX1,NKX2-2,NKX6-1,PAX4,FOXA2,NEUROG3|0.012187,0.042495,0.000329,0.025706,0.753070,0.562868,0.540662,0.513204,0.134076,0.098969,0.193208,0.453775,0.189842,0.179479,0.397035,0.544384,0.857207,0.687218,0.577084,0.930262,0.831881,0.827429,0.564317,0.969680,0.328095,0.347349,0.477270,0.837638,0.498932,0.564357,0.525190,0.454438,0.000273,0.015057,0.000374,0.008323,0.458654,0.499994,0.451640,0.500598,0.082446,0.083862,0.086019,0.104200,0.091061,0.124391,0.100757,0.210687,0.485520,0.499901,0.479899,0.499940,0.495761,0.512110,0.494330,0.928736,0.079920,0.134921,0.118938,0.161173,0.135233,0.198807,0.229780,0.473184,0.867692,0.983032,0.108540,0.634764,0.976477,0.980223,0.640863,0.641960,0.911079,0.906074,0.558193,0.690265,0.910678,0.930861,0.594722,0.589130,0.987193,0.997194,0.742971,0.992162,0.994017,0.996863,0.998368,0.999365,0.971110,0.989718,0.624458,0.981707,0.964589,0.972659,0.973097,0.956952,0.073111,0.431418,0.036894,0.364502,0.475381,0.483148,0.498825,0.498114,0.386995,0.466347,0.485642,0.485325,0.532789,0.585882,0.558888,0.569477,0.499946,0.499997,0.499964,0.499997,0.388493,0.488233,0.961358,0.952459,0.553158,0.603605,0.508848,0.504626,0.619166,0.646958,0.754071,0.520342
NKX2-2|NEUROD1,NEUROG3,FOXA2|0.034447,0.016364,0.362084,0.430135,0.610248,0.892240,0.845266,0.986020
FOXA2|NKX2-2,ARX|0.452057,0.144487,0.790057,0.573101
NKX6-1|MAFB,ARX,PDX1|0.066731,0.431044,0.480698,0.807552,0.874190,0.948863,0.354528,0.723937
PAX6|NEUROD1,PDX1|0.118332,0.030508,0.936605,0.728506
