,ARX,FOXA2,GCG,INS,ISL1,JUN,MAFA,MAFB,MYC,NEUROD1,NEUROG3,NKX2-2,NKX6-1,PAX4,PAX6,PDX1
repl,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
pdx1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
nkx61,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
ph,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
fev_high_isl_neg,1,1,0,0,0,1,0,0,0,1,1,1,0,1,1,1
neurog3,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0,1
sst_hhex,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1
exo,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1
scbeta,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1
ph__pre,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0
ec,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0
foxj1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0
