,ARX,FOXA2,GCG,INS,ISL1,JUN,MAFA,MAFB,MYC,NEUROD1,NEUROG3,NKX2-2,NKX6-1,PAX4,PAX6,PDX1
repl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pdx1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nkx61,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0
ph,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0
ph,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
sst_hhex,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
exo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
scbeta,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ph__pre,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0
ph__pre,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ec,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
ec,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
foxj1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0
foxj1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
