,ARX,FOXA2,GCG,INS,ISL1,JUN,MAFA,MAFB,MYC,NEUROD1,NEUROG3,NKX2-2,NKX6-1,PAX4,PAX6,PDX1
x1_S3c_b1.bcAPMF,0.0,0.11298508003654224,0.0,0.0,0.07061766570233323,0.1371579511428086,0.5125928234620606,0.02272910433745533,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8122354189642713
x1_S3c_b1.bcGUPB,0.0,0.6611071575823567,0.0,0.0,0.011946718247330658,0.027734315822588094,0.5097965561387676,0.0019158751069938615,0.9263625751926374,0.0,0.034824477729255274,0.0,0.0,0.0,0.0,0.4609904260165128
x1_S3c_b1.bcALUC,4.265144308355303e-05,0.3941777515798029,0.0,0.0,0.004910659758645994,0.03325899081869279,0.6255506472755664,0.013745379685610968,0.8675039725523036,0.0,0.0,0.0001551653118266394,8.57497827941908e-05,0.0,1.4180084712913218e-05,0.0
x1_S3c_b1.bcDFNU,0.0,0.6420102156939232,0.005461106166566612,0.0,0.017555950876656987,0.0,0.0,0.005411724456659829,1.0,2.2124071049846603e-05,0.0,0.0,0.0,0.0,0.0,0.5098317151047989
x1_S3c_b1.bcFQIY,0.0,0.7740524362974057,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00030079652094950287,0.17599738924396857,0.0,0.0,0.0,0.0,0.43992197635390545
x1_S3c_b1.bcEUQT,0.0,0.24460014639574154,0.008681792079427845,0.0,0.010585180261162418,0.0,0.0,0.005928128966795245,0.9043025330088392,0.0,0.0,0.0,0.0,0.0,0.0,0.27944341467789086
x1_S3c_b1.bcGBYT,0.0,0.5395812150063497,0.0,0.0,0.0271422544855967,0.0,0.0,0.006014078725854791,0.8880363539106146,0.0,0.0,0.0,0.0,0.0,0.0,0.4823433355393454
x1_S3c_b1.bcDEGF,0.0,0.0,0.018445013383696578,0.006571506224107939,0.0,0.0,0.0,0.0,0.7088837870230547,5.203985511078201e-05,0.0,0.0,0.0,0.0,0.0,0.4992429151304624
x1_S3c_b1.bcFQKO,0.0,0.10698655380402212,0.0019337324135359022,0.0,0.0,0.25315137049830577,0.0,0.0,0.47598626391664633,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x1_S3c_b1.bcEOXQ,0.0,0.41692867103910103,0.0,0.0,0.10373148801238535,0.24046745591820262,0.8714034467912052,0.022676058970663087,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
x1_S3c_b1.bcGSAV,0.0,1.0,0.0,0.0,0.04022975081233566,0.0,0.0,7.001334465601659e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9364239054812954
x1_S3c_b1.bcABWP,5.547378073300254e-05,0.0,0.03467307114547521,0.0,0.03479979803287271,0.0,0.4998945031887486,0.01243045873847795,1.0,0.0,0.04077926000325728,0.0014879701294167286,0.0004040684793110995,0.0,0.00010780149122766145,0.0
x1_S3c_b1.bcASMY,0.0,0.0,0.0,0.005162202761789702,0.0,0.0,0.0,0.02863026247919165,1.0,0.0,0.3498900623212353,0.0,0.0,0.0,0.0,0.8541481397594604
x1_S3c_b1.bcGABD,0.0,0.0,0.0,0.0,0.005438600159762829,0.0,0.16199173775253461,0.006997787292832043,1.0,0.0,0.05943757778861654,0.00014160850991458922,0.0,0.0,0.0,0.26848124713304444
x1_S3c_b1.bcEPOV,0.0,0.42493544931836974,0.07483101758871548,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5758955150384121
x1_S3c_b1.bcBQTE,0.0,0.3283462196451166,0.0,0.0,0.009286296531119134,0.0,0.0,0.0,0.8635253538421118,0.0002038659497380432,0.0,0.0,0.0,0.0,0.0,0.5489800869937178
x1_S3c_b1.bcDXTM,0.0,0.9652216304194604,0.0,0.0,0.06747967600379816,0.04901084462404734,0.035322203480216884,0.01698553492640849,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
x1_S3c_b1.bcBHGR,0.0,1.0,0.0,0.0,0.045870598081176904,0.0,0.0,0.006961077688670432,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7946171439672765
x1_S3c_b1.bcAGJX,0.0,0.5894017801469092,0.0,0.0,0.0033361330517059414,0.03391325463130229,0.0,0.0,0.964095376127348,4.115982144464417e-05,0.0,0.0,0.0,0.0,0.0,0.4399453620081334
x1_S3c_b1.bcFCSQ,0.0,0.9709486625852297,0.01802213626555866,0.0,0.00289106915752711,0.0,0.06090380566659577,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.762647262345855
x1_S3c_b1.bcFGNO,0.0,0.7084056527661867,0.0,0.0,0.02800302259047912,0.0,0.0,0.0,1.0,0.002735753090764579,0.1462430966151626,0.0,0.0,0.0,0.0,0.7701727403481838
x1_S3c_b1.bcCKQS,0.0,0.34260595135063443,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2557695885115474
x1_S3c_b1.bcEWEQ,0.0,0.588449977743479,0.002668280751693098,0.0,0.0017122757090114182,0.0,0.004418866948825182,0.0,0.9733731456524358,0.0,0.0,0.0,0.0,0.0,0.0,0.286927833276872
x1_S3c_b1.bcGFUB,0.0,0.756399030761155,0.0,0.0,0.10501193345188747,0.22305704706150958,1.0,0.024691599481080753,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
x1_S3c_b1.bcGYKF,0.0,0.018191730684456207,0.0,0.0,0.0,0.0,0.04626502684195336,0.0,0.9090760960252879,0.0,0.0001072638990627835,0.0,0.0,0.0,0.0,0.662691922931734
x1_S3c_b1.bcFZSK,3.2974143738155784e-05,0.6520051434952697,0.0,0.0,0.0,0.0,0.0,0.02218111750438694,1.0,0.0,0.0,0.0,0.0002694653746014543,0.0,0.0,0.0
x1_S3c_b1.bcCJGJ,0.0,0.8470059254012139,0.0007143596479689285,0.0020697667454718516,0.010641143027513397,0.02980426553286131,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4626001224283873
x1_S3c_b1.bcHWOV,0.0,0.9280150541137763,0.0027879263923222433,0.0,0.056124848522927505,0.0,0.48501493698275944,0.0014689001706131362,1.0,0.0008432543695199413,0.0,0.0,0.0,0.0,0.0,0.7599175326258224
x1_S3c_b1.bcEYPC,0.0,0.5392411269260687,0.0,0.0,0.010414538183142441,0.0,1.0,0.0,0.744048427397112,0.0022340580457122223,0.0,0.0,0.0,0.0,0.0,0.6237167526108681
x1_S3c_b1.bcEESM,0.0,0.0,0.005734662946735648,0.0,0.019563164922759446,0.18989292488008253,0.5058474820946469,0.0,0.7176367396391794,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x1_S3c_b1.bcHTPK,0.0,0.24308509638611964,0.0,0.0,0.0625042488781703,0.19091705059147734,0.4522504277778988,0.01936606789708953,1.0,0.0,0.048580713510752424,0.0,0.0,0.0,0.0,0.7509320814541246
x1_S3c_b1.bcDFTK,0.0,0.5167866567311447,0.0051444075290482056,0.0,0.05005879396575281,0.0,0.0,0.0,1.0,0.0003851145531111208,0.0,0.0,0.0004538888325982052,0.0,0.0,0.6243950908822279
x1_S3c_b1.bcETBN,0.0,0.7066944180332441,0.0,0.0,0.014144334161740109,0.0,0.0,0.0,1.0,0.0,0.0,5.4136720879113474e-05,0.0,0.0,0.0,0.3672180108663783
x1_S3c_b1.bcEFVP,0.0,0.2087906075607144,0.011731550616895512,0.002273070667579987,0.0,0.03182511155383986,0.0,0.0,0.5838671852632376,0.0,0.0,0.0,0.0,0.0,0.0,0.669684161986354
x1_S3c_b1.bcCEXY,0.0,0.9442997591558796,0.0,0.0,0.0,0.0,1.0,0.006312056743466728,1.0,0.0005133936690810736,0.0,0.0,0.0,0.0,0.0,0.7869824205755401
x1_S3c_b1.bcGYHA,0.0,0.08693426644412046,0.0,0.0,0.07060717531106689,0.1182700030329429,0.470706537156545,0.028182448327575625,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7674001858931772
x1_S3c_b1.bcAHFF,0.0,1.0,0.0,0.0,0.025537661198097868,0.0,0.031716148312886015,0.012108929105484017,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6454495641034395
x1_S3c_b1.bcAUAE,0.0,0.41818704940410445,0.0,0.0,0.02564084873733774,0.00438446657123464,0.06910103873862425,0.013973992020569016,1.0,0.0,0.04845201975367546,0.0,0.0,0.0,0.0,0.7409682110985928
x1_S3c_b1.bcGXHY,0.0,0.0,0.0,0.0,0.0,0.05593264068188378,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6696322270679637
x1_S3c_b1.bcDKVE,0.0,0.48650984289052757,0.0,0.0,0.0024146866761170054,0.15248089344551133,0.06453143046584854,0.00777640915922528,1.0,0.0,0.025699555172233636,0.0,0.0,0.0,0.0,0.8475747813043156
x1_S3c_b1.bcCKQP,0.0,0.5108301887975989,0.0,0.0,0.0038784443303846337,0.0,0.06157668344704776,0.0,0.9467899534342609,0.0,0.0,4.878516081270754e-05,0.0,0.0,0.0,0.006076857012753793
x1_S3c_b1.bcBENP,0.0,0.0,0.0,0.0,0.027217196592547975,0.0,0.0,0.0,0.6527390256725883,0.0,0.0,0.0,0.0,0.0,0.0,0.5064318672598466
